Block,Trial,SubjectResponse,ResponseTime
0,0,2,1.9294530000042869
0,1,0,0
0,2,4,0.9527818750066217
0,3,1,1.3536273330100812
1,0,0,0
1,1,1,2.214854000005289
1,2,4,0.8525291249970905
1,3,2,2.4905088329978753
