Block,SubjectResponse,ResponseTime
0,"['2', '3', '1', -1]","[2.0277090830059024, 0.9989694579999195, 1.4393987079965882, -1]"
1,"['1', '4', '1', '4']","[0.3618898330023512, 1.4188662090018624, 1.1691863330052001, 1.1043621249991702]"
